Step;Heat 1;Heat 2;Heat 3;Heat 4;Heat 5;Heat 6;Heat 7;Heat 8
0;7796;7891;7899;7911;7914;7923;7924;7915
1;7786;7871;7891;7900;7906;7919;7917;7908
2;7744;7853;7883;7898;7894;7913;7911;7904
3;7727;7839;7874;7888;7888;7908;7905;7899
4;7681;7824;7865;7886;7877;7903;7901;7895
5;7678;7796;7858;7884;7876;7899;7895;7891
6;7668;7788;7849;7879;7869;7891;7889;7886
7;7644;7780;7841;7874;7866;7888;7883;7882
8;7632;7767;7833;7873;7852;7884;7877;7875
9;7628;7756;7801;7869;7848;7878;7871;7867
10;7618;7748;7794;7861;7839;7873;7866;7861
11;7597;7736;7762;7854;7837;7863;7862;7857
12;7588;7726;7749;7845;7836;7863;7856;7852
13;7584;7714;7746;7805;7833;7857;7852;7848
14;7527;7707;7743;7805;7831;7853;7847;7842
15;7511;7699;7737;7785;7823;7847;7843;7839
16;7503;7694;7733;7783;7821;7841;7839;7835
17;7487;7684;7731;7780;7813;7832;7833;7832
18;7470;7674;7719;7769;7811;7828;7830;7827
19;7460;7648;7713;7766;7809;7825;7827;7822
20;7401;7646;7709;7754;7807;7822;7824;7818
21;7385;7641;7703;7750;7798;7820;7821;7814
22;7365;7634;7702;7744;7782;7815;7816;7810
23;7362;7627;7701;7742;7775;7811;7813;7805
24;7360;7625;7697;7734;7768;7805;7811;7800
25;7352;7617;7633;7733;7767;7800;7808;7796
26;7337;7591;7563;7726;7759;7796;7804;7792
27;7320;7584;7560;7724;7757;7789;7800;7787
28;7307;7568;7559;7717;7754;7785;7794;7783
29;7292;7554;7559;7704;7749;7781;7786;7778
30;7280;7551;7552;7692;7742;7777;7781;7773
31;7276;7548;7540;7691;7741;7770;7778;7770
32;7272;7544;7531;7665;7738;7764;7771;7766
33;7259;7537;7527;7653;7726;7762;7765;7762
34;7243;7537;7522;7653;7723;7756;7761;7756
35;7232;7525;7514;7651;7722;7752;7756;7752
36;7228;7523;7512;7639;7718;7748;7751;7746
37;7223;7512;7508;7622;7712;7746;7744;7740
38;7210;7498;7497;7613;7705;7744;7738;7737
39;7195;7495;7485;7594;7699;7739;7734;7730
40;7183;7492;7472;7591;7696;7736;7728;7726
41;7117;7487;7459;7589;7689;7727;7724;7723
42;7101;7484;7457;7587;7685;7722;7720;7717
43;7084;7482;7454;7579;7682;7717;7716;7710
44;7071;7453;7451;7574;7678;7714;7709;7706
45;7055;7433;7450;7491;7674;7708;7705;7701
46;7041;7428;7441;7490;7669;7704;7702;7697
47;7028;7425;7439;7489;7662;7698;7699;7692
48;7012;7425;7438;7486;7658;7695;7695;7688
49;7001;7409;7436;7483;7653;7689;7690;7682
50;6988;7402;7430;7479;7650;7684;7686;7678
51;6946;7395;7420;7477;7645;7681;7679;7674
52;6933;7378;7418;7472;7640;7677;7674;7666
53;6923;7350;7412;7464;7632;7670;7670;7662
54;6912;7348;7404;7459;7628;7667;7663;7658
55;6894;7328;7382;7452;7618;7664;7657;7655
56;6867;7326;7355;7438;7615;7661;7653;7648
